Date,Close,High,Low,Open,Volume,Trading_Range,Daily_Price_Change,Pct_Price_Change,Daily_Return,Year,Month_Num,Month,Quarter,Day_Name,MA_7,MA_30,Volatility_30
2021-07-22,143.09356689453125,144.45821346206498,142.1285572602189,142.25527975346566,77338200,2.3296562018460634,0.8382871410655923,0.5892836754589207,0.9628624945711595,2021,7,July,3,Thursday,142.70645359584265,134.76529897054036,1.2639155532281854
2021-07-23,144.80917358398438,144.9651374939281,143.21058069090384,143.8246792903466,71447400,1.7545568030242578,0.9844942936377663,0.6845099870866493,1.1989404741847176,2021,7,July,3,Friday,142.62430463518416,135.4947395324707,1.2461299688197665
2021-07-26,145.2283172607422,146.04710543551434,143.9708787526298,144.5264945756414,72434100,2.0762266828845384,0.7018226851007796,0.4856014028164669,0.289445527782628,2021,7,July,3,Monday,142.69532775878906,136.19786122639974,1.24434645781964
2021-07-27,143.06436157226562,145.44275893789174,141.87516288945258,145.35501995009983,104818600,3.5675960484391567,-2.2906583778342053,-1.5759059292349071,-1.4900370184634193,2021,7,July,3,Tuesday,142.7482452392578,136.72715326944987,1.2424102850605605
2021-07-28,141.31951904296875,143.25928057886588,138.94112214929507,141.15381301329907,118931200,4.318158429570815,0.1657060296696784,0.1173939450392786,-1.219620672906374,2021,7,July,3,Wednesday,143.10054452078683,137.22557576497397,1.2633706950598544
2021-07-29,141.96290588378906,142.84993393088695,140.9296709601532,141.03689429412697,56699500,1.920262970733745,0.926011589662096,0.6565740080258253,0.4552710377005331,2021,7,July,3,Thursday,143.029536655971,137.72887420654297,1.2634418244095114
2021-07-30,142.17730712890625,142.63544169374407,140.47149137109437,140.73467853831747,70440600,2.163950322649697,1.4426285905887823,1.025069730909288,0.15102624434351064,2021,7,July,3,Friday,143.09359305245536,138.1860331217448,1.2530839967732867
2021-08-02,141.84588623046875,143.23977416644965,141.5826990796388,142.66467417357075,62880000,1.6570750868108632,-0.8187879431019951,-0.5739247980238118,-0.23310393559291542,2021,8,August,3,Monday,142.91535295758928,138.67535756429035,1.2319702635868113
2021-08-03,143.63943481445312,144.30225894055675,141.51446802349406,142.12856645538005,64786600,2.7877909170626936,1.510868359073072,1.063029337981394,1.264434684464688,2021,8,August,3,Tuesday,142.74824741908483,139.16468404134113,1.2280117675392948
2021-08-04,143.2397918701172,144.058579914417,142.58670986762564,143.5517196242508,56368300,1.4718700467913663,-0.3119277541336203,-0.21729294149181685,-0.2782264806681978,2021,8,August,3,Wednesday,142.46417236328125,139.5861028035482,1.221284753963739
2021-08-05,143.34698486328125,144.1072900112852,142.47945643165977,143.26900294123843,46397700,1.6278335796254169,0.07798192204282373,0.05443042140441775,0.07483464738713419,2021,8,August,3,Thursday,142.50454711914062,140.0201909383138,1.2181760960705021
2021-08-06,142.66366577148438,143.61059289976055,142.16580285802874,142.86867690985883,54126800,1.4447900417318067,-0.20501113837445928,-0.14349621121206885,-0.4766888487041432,2021,8,August,3,Friday,142.69656808035714,140.44092559814453,1.2230752149863502
